,STATES,inputs,LSTAR_rndWords_total_sym_median,LSTAR_rndWords_total_sym_mean,LSTAR_rndWords_total_sym_std,LSTAR_rndWords_total_reset_median,LSTAR_rndWords_total_reset_mean,LSTAR_rndWords_total_reset_std,LSTAR_rndWords_mq_sym_mean,LSTAR_rndWords_mq_sym_std,LSTAR_rndWords_mq_reset_mean,LSTAR_rndWords_mq_reset_std,LSTAR_rndWords_eq_sym_mean,LSTAR_rndWords_eq_sym_std,LSTAR_rndWords_eq_reset_mean,LSTAR_rndWords_eq_reset_std,LSTAR_rndWords_eqs,LIP_rndWords_rndWords_total_sym_median,LIP_rndWords_rndWords_total_sym_mean,LIP_rndWords_rndWords_total_sym_std,LIP_rndWords_rndWords_total_reset_median,LIP_rndWords_rndWords_total_reset_mean,LIP_rndWords_rndWords_total_reset_std,LIP_rndWords_rndWords_mq_sym_mean,LIP_rndWords_rndWords_mq_sym_std,LIP_rndWords_rndWords_mq_reset_mean,LIP_rndWords_rndWords_mq_reset_std,LIP_rndWords_rndWords_eq_sym_mean,LIP_rndWords_rndWords_eq_sym_std,LIP_rndWords_rndWords_eq_reset_mean,LIP_rndWords_rndWords_eq_reset_std,LIP_rndWords_rndWords_eqs,LIP_rndWords_rndWords_components,LIP_rndWords_rndWords_rounds,LIP_rndWords_rndWords_TOTAL_SYM_progress,LIP_rndWords_rndWords_TOTAL_RST_progress,LIP_rndWords_rndWords_MQ_SYM_progress,LIP_rndWords_rndWords_MQ_RST_progress,LIP_rndWords_rndWords_EQ_SYM_progress,LIP_rndWords_rndWords_EQ_RST_progress,LIP_rndWords_rndWords_TOTAL_SYM_pvalue,LIP_rndWords_rndWords_TOTAL_RST_pvalue
0,"(300, 600]",19.0,200238084.0,230845683.65714285,123497559.43838638,24954729.0,25540252.57142857,11892205.256037382,935731.0,1700298.87182426,155971.0,54770.70934830008,199302353.0,123191969.65401515,24798758.0,11842520.743905159,1.0,108269911.54285714,1504246.0,162117846.60154098,38550.0,11545122.942857143,16845347.568846434,11881.0,1374829.153622686,747.0,17484.679948577887,1453672.0,162105039.05650476,36646.0,16845510.71270757,43.0,6.0,14.0,99.34837594700963,54.796363463639096,98.73029748934256,99.52106481333068,99.27061975028464,99.85222647037403,8.209054929934549e-07,3.100259160022132e-07
1,"(600, 900]",21.0,553175658.0,626716385.0833334,145636512.09762412,51969685.5,60924408.666666664,20108693.933919724,4677823.5,6777020.47066968,398908.5,81598.69090007548,543454251.0,147091557.10895386,51523747.0,20071078.325850546,1.5,622864776.5,541071991.0,149037355.04750645,49973081.0,60423516.416666664,20402407.237660076,3223514.0,5381940.596559536,45519.5,65298.602695790716,539580720.5,152027445.08570015,49839704.0,20435077.437523548,55.5,5.0,17.0,13.665574432355932,0.822153650666535,31.08944790242727,88.58898719881878,0.7127611004739354,3.268479289753523,0.18690405529496895,0.10658187782060126
2,"(900, 1200]",22.0,963423860.5,1089815083.0,417625957.8932396,99697829.0,106978292.6875,42474412.58282865,5622312.0,6421121.568875496,566086.5,138556.19307149955,955738393.5,418537650.2756885,99206048.0,42377514.31238837,1.0,1078500514.3125,960582016.0,418350529.67879015,98851943.5,105841899.1875,42499985.20878322,49880.0,3341796.331716162,2638.0,43614.900809814986,956661049.5,419633784.9398152,98850572.5,42522849.95060152,56.0,6.0,17.0,11.858256415781321,1.0622655040117168,99.1128204909297,99.53399347979504,-0.09653855137294887,0.3583203919180433,0.0013229568803928564,0.0005377359882839342
3,"(1200, 1500]",23.0,1370907358.0,1375060025.6666667,310456662.4415783,144371139.0,136684632.0,33604869.05176721,5958679.0,7727812.388072578,710999.0,128525.56021674357,1349585431.0,310349937.34749055,143647130.0,33548010.801259927,1.0,1361521027.0,1358956577.0,309143997.5915187,145264008.0,135205224.1111111,33296961.84721347,59116.0,3876519.978087513,2583.0,51897.353743819265,1350659610.0,309698856.9591448,145195387.0,33320390.493506894,55.0,7.0,17.0,1.1711087782411034,1.0823512981978034,99.00790091226595,99.63670834980077,-0.07959325696069719,-1.077819654315415,0.03350003438970742,0.034791132855362616
4,"(1500, 1800]",22.0,1581857003.0,1895764402.8,659848297.9379618,172315902.0,181267052.6,65890028.412380874,8440025.0,8761273.245497266,836374.0,219491.94004004536,1576529109.0,656609577.1571974,171572456.0,65723299.99507956,1.0,1877928558.4666667,1555394430.0,642290040.1786144,166818391.0,179388375.2,64529459.64288289,52295.0,4844308.123975268,1991.0,64046.59037852277,1555390880.0,643242370.5965489,166817744.0,64556938.0240115,55.0,6.0,16.0,17.954233780172334,1.0364141596904908,99.38039283058995,99.76194860194124,1.3408080370560405,2.771256010929868,0.03595350522198738,0.024669223206678838
5,"(1800, 2100]",25.0,3270549347.0,2891588486.1666665,930231163.0033034,311295281.5,269282447.1666667,98648999.99594066,10770025.0,2893964.6668129,1260025.0,193024.77526619914,3259779322.0,932454725.5772542,310035256.5,98458938.97508277,1.0,2888562207.6666665,3280051182.5,933116880.7216496,312204042.0,268860644.8333333,98819804.14207868,33811.0,3869055.792151073,1706.5,70864.45511749879,3280011832.0,936582630.0318742,312202395.5,98884136.87480341,59.0,8.0,18.0,-13.434231675486874,0.15663937169744235,99.68606386707552,99.86456617924247,-0.6206711559721967,-0.6989975993262565,0.3255654761593131,0.28693432797086404
6,"(2100, 2400]",22.0,2616374148.0,3446100250.0,1509380158.9695306,279903056.0,329602166.8,123339547.9122756,15046587.0,8789057.032498863,1390768.0,332797.755151233,2608196462.0,1507716283.8194995,278787898.0,123065849.91549717,1.0,3418908484.0,2608902972.0,1521159086.415884,278794593.0,326829789.4,124675922.27364486,38403.0,2977991.637301438,1904.0,39463.9540150249,2608901114.0,1521272859.432787,278794264.0,124681806.35444988,62.0,7.0,18.0,24.29404884550297,0.841128390300383,99.74477268499494,99.86309722397985,-0.027016829838788503,-0.002283456364371439,0.08695083164104139,0.060589542844164505
7,"(2400, 3840]",25.0,5539131406.0,5331708418.615385,1490804120.1919096,505338949.0,494496930.9230769,124217203.96276404,28244000.0,10742833.156552186,1898234.0,366806.65333300456,5509120649.0,1484669015.9698317,503161492.0,123892810.7313703,2.0,5271360032.846154,5414554336.0,1452597115.1959794,503276878.0,488709881.6923077,120547721.38084042,5496753.0,4492803.334232818,82264.0,56704.426197924775,5407999477.0,1451987672.7864296,503169434.0,120548982.08662254,64.0,7.0,19.0,-1.5538343600216997,1.1702902220174671,80.53833380541,95.66628771795259,1.8355229163179665,-0.0015784196776280623,0.0035541117515251425,0.0035840698150277784
