,FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS
364,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_30.txt,1152,25,6090025,720025,300181,2000,6390206,722025,1,37891,1720,1449564,9658,1487455,11378,61,7,19
365,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_36.txt,432,19,935731,155971,302886,2000,1238617,157971,1,5133,527,1000644,6610,1005777,7137,43,7,13
366,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_39.txt,432,19,935731,155971,300979,2000,1236710,157971,1,6717,478,992660,6606,999377,7084,43,7,13
367,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_40.txt,1152,23,5154599,609431,301762,2000,5456361,611431,1,48853,2860,1458423,9644,1507276,12504,59,5,19
368,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_1.txt,384,19,854867,138643,297796,2000,1152663,140643,1,4373,525,999665,6623,1004038,7148,43,7,13
369,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_7.txt,576,19,1316947,207955,303162,2000,1620109,209955,1,16913,639,1067340,7105,1084253,7744,45,6,14
370,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_8.txt,1536,25,8440025,960025,299766,2000,8739791,962025,1,45250,2072,1529867,10155,1575117,12227,63,6,20
371,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_10.txt,864,21,2476677,381045,301151,2000,2777828,383045,1,5180,480,1072584,7119,1077764,7599,47,8,14
372,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_12.txt,1152,24,4534296,663576,298760,2000,4833056,665576,1,9640,833,1298376,8635,1308016,9468,56,8,17
373,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_20.txt,1080,22,4477990,522742,298803,2000,4776793,524742,1,32632,2292,1370013,9134,1402645,11426,56,5,18
374,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_21.txt,2160,24,10865688,1244184,300832,2000,11166520,1246184,1,43533,3946,1452411,9659,1495944,13605,60,6,19
375,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_23.txt,1296,22,4181782,627286,300172,2000,4481954,629286,1,4548,556,1145069,7619,1149617,8175,50,8,15
376,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_24.txt,2496,27,38385086,2186829,300772,2008,38685858,2188837,3,5507755,71466,1680651,11178,7188406,82644,75,6,22
377,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_25.txt,384,18,767250,124434,299289,2000,1066539,126434,1,6902,574,996447,6610,1003349,7184,42,6,13
378,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_26.txt,768,19,13084363,423223,304436,2020,13388799,425243,3,4701584,74412,1222889,8132,5924473,82544,55,4,16
379,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_27.txt,1296,23,4799111,685607,301021,2000,5100132,687607,1,4350,694,1296202,8629,1300552,9323,55,7,17
380,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_28.txt,864,21,2476677,381045,298705,2000,2775382,383045,1,2327,427,1068493,7113,1070820,7540,47,8,14
381,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_29.txt,1296,22,4181782,627286,299101,2000,4480883,629286,1,8248,565,1148351,7632,1156599,8197,50,8,15
382,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_33.txt,864,21,2476677,381045,300375,2000,2777052,383045,1,3182,457,1071403,7124,1074585,7581,47,8,14
383,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_36.txt,2304,26,19232736,1746784,301654,2002,19534390,1748786,2,6378159,87249,1605690,10673,7983849,97922,73,6,21
384,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_37.txt,1248,24,21407064,954796,306174,2053,21713238,956849,3,6397948,79315,1524874,10159,7922822,89474,68,5,20
385,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_40.txt,1728,25,7560025,1080025,300971,2000,7860996,1082025,1,11655,784,1377362,9158,1389017,9942,59,8,18
386,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_3.txt,1728,22,5854486,836374,301619,2000,6156105,838374,1,2160,444,1146907,7631,1149067,8075,50,8,15
387,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_4.txt,1536,23,7143639,812567,300970,2000,7444609,814567,1,39890,1704,1300506,8656,1340396,10360,55,7,17
388,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_5.txt,2496,25,36480514,1909328,299377,2009,36779891,1911337,3,5875478,80550,1457708,9674,7333186,90224,68,7,19
389,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_7.txt,2592,25,12150025,1620025,303594,2000,12453619,1622025,1,11700,923,1374432,9148,1386132,10071,59,8,18
390,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_10.txt,2160,22,9130198,1045462,300247,2000,9430445,1047462,1,50064,2247,1301972,8635,1352036,10882,54,6,17
391,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_14.txt,1728,23,6398807,914135,301088,2000,6699895,916135,1,3189,515,1149950,7632,1153139,8147,51,9,15
392,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_21.txt,384,17,684369,110993,299934,2000,984303,112993,1,1155,227,766275,5102,767430,5329,35,8,10
393,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_26.txt,384,17,684369,110993,301601,2000,985970,112993,1,1229,272,771852,5104,773081,5376,35,8,10
394,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_38.txt,2496,27,37063335,2171209,302246,2029,37365581,2173238,3,9564041,114950,1609851,10694,11173892,125644,76,7,21
395,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_6.txt,1920,23,9039575,1015703,297909,2000,9337484,1017703,1,32245,2044,1223593,8138,1255838,10182,53,8,16
396,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_12.txt,1152,20,3148820,460820,300850,2000,3449670,462820,1,2366,398,922492,6116,924858,6514,42,9,12
397,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_14.txt,1536,22,5327894,743446,301240,2000,5629134,745446,1,4628,611,1145618,7637,1150246,8248,50,8,15
398,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_17.txt,1152,19,2841811,415891,299405,2000,3141216,417891,1,3032,455,919530,6107,922562,6562,41,8,12
399,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_26.txt,1152,20,3148820,460820,302005,2000,3450825,462820,1,2975,324,923671,6111,926646,6435,42,9,12
400,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_35.txt,768,18,1658898,248850,299961,2000,1958859,250850,1,2604,377,845958,5603,848562,5980,38,8,11
401,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_4.txt,2768,15,32173107,1122954,323842,2150,32496949,1125104,4,63082448,906803,1245934,8274,64328382,915077,71,3,13
402,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_14.txt,432,19,935731,155971,300836,2000,1236567,157971,1,2483,413,993271,6616,995754,7029,43,7,13
403,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_15.txt,576,19,15325552,366452,298978,2008,15624530,368460,3,7062608,100698,1222139,8120,8284747,108818,55,4,16
404,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_20.txt,576,21,1608789,254037,299941,2000,1908730,256037,1,18015,860,1219543,8127,1237558,8987,51,6,16
405,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_25.txt,384,20,1196820,153620,300166,2000,1496986,155620,1,44424,1616,1146906,7619,1191330,9235,48,6,15
406,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_27.txt,384,20,1196820,153620,300545,2000,1497365,155620,1,25892,1460,1143971,7620,1169863,9080,48,6,15
407,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_29.txt,768,24,3667992,442392,298474,2000,3966466,444392,1,45548,2039,1445256,9649,1490804,11688,60,6,19
408,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_3.txt,576,20,13523276,388528,300815,2006,13824091,390534,3,8251974,105926,1225724,8135,9477698,114061,58,5,16
409,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_36.txt,432,19,935731,155971,297100,2000,1232831,157971,1,2757,416,994471,6611,997228,7027,43,7,13
410,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_39.txt,432,19,935731,155971,301006,2000,1236737,157971,1,1582,331,995762,6610,997344,6941,43,7,13
411,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_7.txt,648,21,1857513,285789,298311,2000,2155824,287789,1,8230,720,1221815,8122,1230045,8842,51,6,16
412,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_8.txt,360,17,787253,104057,298600,2000,1085853,106057,1,53063,4182,1068676,7126,1121739,11308,43,4,14
413,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_1.txt,384,19,854867,138643,299264,2000,1154131,140643,1,3502,471,996943,6609,1000445,7080,43,7,13
414,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_25.txt,384,18,767250,124434,298154,2000,1065404,126434,1,1622,377,993210,6614,994832,6991,42,6,13
415,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_7.txt,576,19,1316947,207955,301242,2000,1618189,209955,1,4814,585,1069292,7111,1074106,7696,45,6,14
416,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_21.txt,384,17,684369,110993,299683,2000,984052,112993,1,1015,238,770889,5098,771904,5336,35,8,10
417,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_26.txt,384,17,684369,110993,300350,2000,984719,112993,1,6282,396,769988,5097,776270,5493,35,8,10
418,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_2.txt,3576,20,32397606,1717420,307736,2053,32705342,1719473,3,5732154,92213,1223791,8123,6955945,100336,54,5,16
419,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_41.txt,1872,27,11372427,1364715,300964,2000,11673391,1366715,1,24263,2337,1674787,11157,1699050,13494,69,6,22
420,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/5wise_41.txt,2076,18,21242224,871392,300794,2007,21543018,873399,3,6515289,105296,1145623,7621,7660912,112917,52,4,15
421,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_41.txt,1872,27,11372427,1364715,300527,2000,11672954,1366715,1,24188,2215,1680310,11163,1704498,13378,69,6,22
422,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/5wise_41.txt,2076,18,14345888,801940,301890,2006,14647778,803946,2,4985281,80400,1151967,7632,6137248,88032,50,4,15
423,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_41.txt,1872,27,11372427,1364715,299872,2000,11672299,1366715,1,46095,2522,1678440,11158,1724535,13680,69,6,22
424,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/5wise_41.txt,2076,18,20028852,866738,303457,2029,20332309,868767,3,5591558,89239,1149824,7627,6741382,96866,51,4,15
425,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_41.txt,2016,20,18687154,1005670,300988,2009,18988142,1007679,3,8632999,117626,1292482,8648,9925481,126274,58,4,17
426,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_41.txt,2016,20,14360974,971506,302389,2024,14663363,973530,3,9935901,139585,1303184,8637,11239085,148222,58,4,17
