,FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS
84,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_18.txt,2808,26,16134794,1898234,300723,2000,16435517,1900234,1,29148,2048,1746924,11640,1776072,13688,64,7,20
85,Benchmarks/BCS_SPL/Complete_FSM_files/products/9wise_5.txt,3328,26,47906754,2668078,300879,2005,48207633,2670083,3,6962057,89140,1684915,11200,8646972,100340,67,8,19
86,Benchmarks/BCS_SPL/Complete_FSM_files/products/9wise_19.txt,3840,26,24400922,2595866,299416,2000,24700338,2597866,1,42186,2681,1755743,11689,1797929,14370,64,7,20
110,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_5.txt,312,18,724482,101106,300274,2000,1024756,103106,1,37876,1848,1291942,8606,1329818,10454,44,5,14
111,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_20.txt,360,17,787253,104057,299711,2000,1086964,106057,1,25147,1892,1290836,8604,1315983,10496,43,4,14
112,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_2.txt,384,18,11384204,250620,300967,2006,11685171,252626,3,9202366,114306,1364090,9117,10566456,123423,52,4,15
113,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_12.txt,384,20,1196820,153620,300258,2000,1497078,155620,1,19225,1383,1367162,9117,1386387,10500,48,6,15
114,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_15.txt,384,17,721361,110993,298500,2000,1019861,112993,1,3443,505,1142348,7593,1145791,8098,39,6,12
115,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_19.txt,432,21,1143093,190533,299024,2000,1442117,192533,1,8652,735,1451008,9625,1459660,10360,51,6,16
116,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_15.txt,432,19,935731,155971,300821,2000,1236552,157971,1,2536,387,1219111,8108,1221647,8495,43,7,13
117,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_20.txt,432,18,886482,139986,298154,2000,1184636,141986,1,11601,614,1214640,8101,1226241,8715,42,6,13
118,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_5.txt,468,21,1513533,206409,299320,2000,1812853,208409,1,21376,1797,1523081,10130,1544457,11927,53,5,17
119,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_13.txt,512,23,2200663,270871,301535,2000,2502198,272871,1,49062,2007,1601297,10631,1650359,12638,57,6,18
120,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_14.txt,576,22,2311606,278806,299268,2000,2610874,280806,1,36951,1989,1598998,10644,1635949,12633,56,5,18
121,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_6.txt,576,18,1244178,186642,298827,2000,1543005,188642,1,3408,555,1222388,8110,1225796,8665,42,6,13
122,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_3.txt,624,21,5193193,344900,303279,2003,5496472,346903,2,7416226,108783,1528400,10152,8944626,118935,62,5,17
123,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_8.txt,672,22,2563286,325270,298149,2000,2861435,327270,1,47007,1525,1451508,9632,1498515,11157,52,7,16
124,Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_14.txt,702,23,20617421,595945,300948,2016,20918369,597961,3,10999969,146481,1762485,11711,12762454,158192,70,4,20
125,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_15.txt,864,23,3713603,457079,300698,2000,4014301,459079,1,47796,2808,1684747,11177,1732543,13985,59,5,19
126,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_8.txt,864,23,2970887,457079,300810,2000,3271697,459079,1,9322,695,1526606,10133,1535928,10828,55,7,17
127,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_2.txt,960,20,3225620,384020,302157,2000,3527777,386020,1,47365,3832,1370554,9126,1417919,12958,48,6,15
128,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_16.txt,1192,17,12857063,482161,298808,2008,13155871,484169,3,10593409,157414,1299617,8630,11893026,166044,54,4,14
129,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_5.txt,1248,23,25430985,914533,298652,2006,25729637,916539,3,8976620,124820,1603489,10662,10580109,135482,65,6,18
130,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_19.txt,1664,26,34069784,1449850,304589,2029,34374373,1451879,3,8263557,101464,1830721,12182,10094278,113646,73,6,21
131,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_18.txt,2808,26,16134794,1898234,300782,2000,16435576,1900234,1,33029,2067,1758084,11666,1791113,13733,64,7,20
132,Benchmarks/BCS_SPL/Complete_FSM_files/products/9wise_9.txt,3456,24,14929944,1990680,298757,2000,15228701,1992680,1,3349,559,1447398,9635,1450747,10194,54,9,16
159,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_5.txt,312,18,724482,101106,298963,2000,1023445,103106,1,21914,1745,1294027,8608,1315941,10353,44,5,14
160,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_12.txt,384,20,1196820,153620,299543,2000,1496363,155620,1,25885,1534,1374318,9116,1400203,10650,48,6,15
161,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_15.txt,384,17,721361,110993,299623,2000,1020984,112993,1,8438,601,1141188,7601,1149626,8202,39,6,12
162,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_19.txt,432,21,1143093,190533,299958,2000,1443051,192533,1,6831,602,1444080,9618,1450911,10220,51,6,16
163,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_15.txt,432,19,935731,155971,300793,2000,1236524,157971,1,2430,422,1221277,8118,1223707,8540,43,7,13
164,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_5.txt,468,21,1513533,206409,300528,2000,1814061,208409,1,23914,1863,1520184,10133,1544098,11996,53,5,17
165,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_13.txt,512,23,2200663,270871,302242,2000,2502905,272871,1,29378,1869,1602206,10650,1631584,12519,57,6,18
166,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_14.txt,576,23,2424959,304727,299652,2000,2724611,306727,1,47594,1979,1602884,10652,1650478,12631,57,6,18
167,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_14.txt,576,22,2311606,278806,298585,2000,2610191,280806,1,46033,1979,1593919,10619,1639952,12598,56,5,18
168,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_3.txt,624,21,14652365,442062,300774,2013,14953139,444075,3,4523446,65870,1523384,10148,6046830,76018,58,5,17
169,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_4.txt,624,21,16699986,453125,300016,2007,17000002,455132,3,13532674,157938,1527288,10163,15059962,168101,61,5,17
170,Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_15.txt,728,19,11764706,402182,302466,2005,12067172,404187,3,8413534,120436,1524085,10148,9937619,130584,58,3,17
171,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_12.txt,810,22,3097138,392062,299609,2000,3396747,394062,1,30188,2271,1596535,10644,1626723,12915,56,5,18
172,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_15.txt,864,23,3713603,457079,299632,2000,4013235,459079,1,38451,2657,1676622,11127,1715073,13784,59,5,19
173,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_8.txt,864,23,2970887,457079,301312,2000,3272199,459079,1,7553,756,1527901,10137,1535454,10893,55,7,17
174,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_7.txt,896,18,12711753,450396,598117,3978,13309870,454374,3,6968463,105576,1380636,9146,8349099,114722,50,4,15
175,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_11.txt,896,19,3078627,323475,300806,2000,3379433,325475,1,86371,7759,1371941,9121,1458312,16880,47,5,15
176,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_16.txt,1192,17,15600915,499816,300897,2006,15901812,501822,3,5842931,88171,1291821,8619,7134752,96790,49,4,14
177,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_5.txt,1248,23,27794844,931723,299917,2004,28094761,933727,3,8813291,112162,1602325,10657,10415616,122819,63,6,18
178,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_19.txt,1664,26,35145408,1465822,300465,2008,35445873,1467830,3,5941810,81782,1825433,12161,7767243,93943,71,6,21
179,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_10.txt,1728,21,5334357,762069,299896,2000,5634253,764069,1,2897,530,1369405,9116,1372302,9646,49,7,15
180,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_9.txt,2076,17,21661535,853978,371991,2484,22033526,856462,4,46477410,1131546,1811739,12036,48289149,1143582,66,1,17
181,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_4.txt,2768,15,82444114,1919898,946637,6292,83390751,1926190,12,70970481,1012559,1623856,10785,72594337,1023344,76,3,13
182,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_18.txt,2808,26,16134794,1898234,301878,2000,16436672,1900234,1,49019,2395,1757021,11655,1806040,14050,64,7,20
203,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_15.txt,384,17,721361,110993,300524,2000,1021885,112993,1,4335,582,1139975,7593,1144310,8175,39,6,12
204,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_19.txt,432,21,1143093,190533,298915,2000,1442008,192533,1,8100,641,1450858,9644,1458958,10285,51,6,16
205,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_15.txt,432,19,935731,155971,300831,2000,1236562,157971,1,3062,431,1221966,8117,1225028,8548,43,7,13
206,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_19.txt,432,19,935731,155971,302326,2000,1238057,157971,1,1581,365,1215909,8108,1217490,8473,43,7,13
207,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_5.txt,468,21,1513533,206409,300552,2000,1814085,208409,1,25630,1936,1519305,10130,1544935,12066,53,5,17
208,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_13.txt,512,23,2200663,270871,298671,2000,2499334,272871,1,58491,2065,1599278,10645,1657769,12710,57,6,18
209,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_14.txt,576,23,2424959,304727,301426,2000,2726385,306727,1,59159,1884,1598903,10643,1658062,12527,57,6,18
210,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_3.txt,624,21,18698213,471403,301174,2014,18999387,473417,3,11122431,132235,1526090,10145,12648521,142380,63,5,17
211,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_4.txt,624,21,18574218,467074,303582,2013,18877800,469087,3,7364400,91879,1533033,10165,8897433,102044,58,5,17
212,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_8.txt,672,22,2563286,325270,299045,2000,2862331,327270,1,34600,1604,1452483,9647,1487083,11251,52,7,16
213,Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_14.txt,702,23,21358515,591361,302178,2015,21660693,593376,3,8761368,113666,1755470,11650,10516838,125316,68,4,20
214,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_7.txt,896,18,4720984,338973,302984,2016,5023968,340989,2,9300192,125075,1386287,9194,10686479,134269,51,4,15
215,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_13.txt,1792,20,13110565,817071,304109,2012,13414674,819083,2,15189824,207386,1481810,9859,16671634,217245,60,5,16
216,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_11.txt,2016,25,10770025,1260025,299061,2000,11069086,1262025,1,32315,1683,1603323,10646,1635638,12329,59,8,18
217,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_9.txt,2076,17,17847863,832747,316016,2092,18163879,834839,4,12349162,210377,1406108,9355,13755270,219732,52,3,15
218,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_17.txt,2304,27,15046587,1679643,299320,2000,15345907,1681643,1,36394,2010,1837135,12198,1873529,14208,67,7,21
219,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_19.txt,2304,22,30492912,1410230,302053,2007,30794965,1412237,3,6744281,96254,1599008,10659,8343289,106913,61,5,18
220,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_13.txt,1792,20,14633212,825870,299342,2011,14932554,827881,2,10917876,156337,1451991,9662,12369867,165999,58,5,16
221,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_13.txt,1792,20,10362681,797797,300123,2005,10662804,799802,2,12179932,164629,1457749,9679,13637681,174308,57,5,16
222,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_9.txt,2076,17,27878661,953474,553590,3678,28432251,957152,5,30526710,990941,1596965,10637,32123675,1001578,61,1,17
223,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_19.txt,2304,22,15900534,1277152,299978,2007,16200512,1279159,2,9594740,111763,1598366,10655,11193106,122418,62,5,18
224,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_18.txt,2592,23,9826727,1371191,295950,2000,10122677,1373191,1,5361,552,1441925,9627,1447286,10179,53,8,16
225,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_26.txt,768,19,16490331,445058,298516,2008,16788847,447066,3,10939101,141166,1452447,9632,12391548,150798,58,4,16
226,Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_35.txt,768,18,1658898,248850,299386,2000,1958284,250850,1,1652,298,1064356,7099,1066008,7397,38,8,11
227,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_12.txt,810,22,3097138,392062,301354,2000,3398492,394062,1,25450,2031,1589052,10612,1614502,12643,56,5,18
228,Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_5.txt,832,25,11022017,646780,299770,2005,11321787,648785,2,4757537,63007,1750503,11664,6508040,74671,67,6,20
229,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_10.txt,864,21,2476677,381045,298511,2000,2775188,383045,1,2534,457,1297952,8618,1300486,9075,47,8,14
230,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_28.txt,864,21,2476677,381045,299590,2000,2776267,383045,1,2376,429,1294047,8621,1296423,9050,47,8,14
231,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_33.txt,864,21,2476677,381045,300362,2000,2777039,383045,1,2648,420,1294398,8613,1297046,9033,47,8,14
232,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_7.txt,896,18,10356156,415658,301668,2019,10657824,417677,3,12183447,167806,1413768,9402,13597215,177208,55,4,15
233,Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_6.txt,936,23,22739071,729454,301167,2004,23040238,731458,3,8956682,119997,1757836,11679,10714518,131676,69,4,20
234,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_2.txt,960,20,3225620,384020,301028,2000,3526648,386020,1,35280,3854,1370529,9118,1405809,12972,48,6,15
235,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_20.txt,1080,22,4477990,522742,298495,2000,4776485,524742,1,14294,1970,1602182,10643,1616476,12613,56,5,18
236,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_9.txt,1152,22,8986814,661206,302561,2004,9289375,663210,2,3643187,49260,1520981,10128,5164168,59388,57,6,17
237,Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_9.txt,1152,25,6090025,720025,297062,2000,6387087,722025,1,38477,1885,1675710,11158,1714187,13043,61,7,19
238,Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_13.txt,1152,25,6090025,720025,297832,2000,6387857,722025,1,52522,1979,1678949,11168,1731471,13147,61,7,19
239,Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_30.txt,1152,25,6090025,720025,300885,2000,6390910,722025,1,38796,1911,1676886,11160,1715682,13071,61,7,19
240,Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_40.txt,1152,23,5154599,609431,300426,2000,5455025,611431,1,33892,2671,1675026,11141,1708918,13812,59,5,19
241,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_12.txt,1152,24,4534296,663576,300986,2000,4835282,665576,1,11575,871,1523339,10129,1534914,11000,56,8,17
242,Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_12.txt,1152,20,3148820,460820,298073,2000,3446893,462820,1,2375,355,1151848,7627,1154223,7982,42,9,12
243,Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_17.txt,1152,19,2841811,415891,298981,2000,3140792,417891,1,2577,365,1143923,7620,1146500,7985,41,8,12
244,Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_26.txt,1152,20,3148820,460820,299158,2000,3447978,462820,1,3429,349,1139340,7608,1142769,7957,42,9,12
245,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_5.txt,1248,23,13604931,837178,300759,2003,13905690,839181,3,13406671,157013,1599657,10649,15006328,167662,65,6,18
246,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_37.txt,1248,24,27390666,994604,300218,2009,27690884,996613,3,6037987,81203,1752085,11666,7790072,92869,67,5,20
247,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_23.txt,1296,22,4181782,627286,297430,2000,4479212,629286,1,3257,523,1378191,9142,1381448,9665,50,8,15
248,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_27.txt,1296,23,4799111,685607,300025,2000,5099136,687607,1,4325,670,1523517,10144,1527842,10814,55,7,17
249,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_29.txt,1296,22,4181782,627286,301731,2000,4483513,629286,1,2516,483,1373006,9128,1375522,9611,50,8,15
250,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_7.txt,1344,23,5958679,710999,298111,2000,6256790,712999,1,31195,2222,1523108,10128,1554303,12350,55,7,17
251,Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_26.txt,1384,17,9329247,494038,302201,2006,9631448,496044,2,4284928,76021,1294162,8611,5579090,84632,46,4,14
252,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_8.txt,1536,25,8440025,960025,299041,2000,8739066,962025,1,38895,2058,1750930,11670,1789825,13728,63,6,20
253,Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_4.txt,1536,23,7143639,812567,299541,2000,7443180,814567,1,23621,1504,1528041,10138,1551662,11642,55,7,17
254,Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_14.txt,1536,22,5327894,743446,298953,2000,5626847,745446,1,3250,584,1373387,9134,1376637,9718,50,8,15
255,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_19.txt,1664,26,26010916,1405564,299171,2004,26310087,1407568,3,8712465,107449,1834821,12212,10547286,119661,74,6,21
256,Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_17.txt,1664,19,15493110,731692,301347,2008,15794457,733700,2,8203339,105289,1375140,9139,9578479,114428,53,5,15
257,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_10.txt,1728,21,5334357,762069,301624,2000,5635981,764069,1,2635,459,1369255,9108,1371890,9567,49,7,15
258,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_40.txt,1728,25,7560025,1080025,300388,2000,7860413,1082025,1,5752,730,1601282,10648,1607034,11378,59,8,18
259,Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_3.txt,1728,22,5854486,836374,301305,2000,6155791,838374,1,2401,446,1372790,9132,1375191,9578,50,8,15
260,Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_14.txt,1728,23,6398807,914135,300650,2000,6699457,916135,1,3847,501,1372710,9139,1376557,9640,51,9,15
261,Benchmarks/BCS_SPL/Complete_FSM_files/products2/9wise_6.txt,1920,23,9039575,1015703,298899,2000,9338474,1017703,1,25517,2068,1450721,9618,1476238,11686,53,8,16
262,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_21.txt,2160,24,10865688,1244184,300889,2000,11166577,1246184,1,37622,3907,1675988,11135,1713610,15042,60,6,19
263,Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_10.txt,2160,22,9130198,1045462,299396,2000,9429594,1047462,1,30819,2110,1522628,10138,1553447,12248,54,6,17
264,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_17.txt,2304,27,15046587,1679643,297989,2000,15344576,1681643,1,52494,2393,1826280,12178,1878774,14571,67,7,21
265,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_19.txt,2304,22,24977746,1371832,302504,2018,25280250,1373850,3,6548998,91230,1596440,10651,8145438,101881,61,5,18
266,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_36.txt,2304,26,28723600,1856410,298867,2010,29022467,1858420,3,6256767,93724,1823180,12167,8079947,105891,73,6,21
267,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_16.txt,2496,25,24420176,1780112,301871,2013,24722047,1782125,2,7859098,93732,1680167,11177,9539265,104909,66,7,19
268,Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_24.txt,2496,27,31493023,2145436,299845,2007,31792868,2147443,3,7090238,86290,1903869,12676,8994107,98966,75,6,22
269,Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_5.txt,2496,25,21277012,1758576,300033,2005,21577045,1760581,2,8432257,100467,1680210,11160,10112467,111627,67,7,19
270,Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_38.txt,2496,27,39064099,2191515,300084,2010,39364183,2193525,3,5362512,76059,1828595,12174,7191107,88233,72,7,21
271,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_18.txt,2592,23,9826727,1371191,300597,2000,10127324,1373191,1,5014,602,1453894,9645,1458908,10247,53,8,16
272,Benchmarks/BCS_SPL/Complete_FSM_files/products2/8wise_7.txt,2592,25,12150025,1620025,300251,2000,12450276,1622025,1,13571,942,1598950,10654,1612521,11596,59,8,18
273,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_4.txt,2768,15,40910789,1195508,344387,2302,41255176,1197810,5,54855915,836899,1412896,9376,56268811,846275,64,3,13
274,Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_24.txt,2808,27,45057944,2457836,301365,2010,45359309,2459846,3,7938281,101153,1899852,12679,9838133,113832,75,6,22
275,Benchmarks/BCS_SPL/Complete_FSM_files/products/9wise_5.txt,3328,26,42381474,2641942,304001,2025,42685475,2643967,3,13815477,163187,1684329,11201,15499806,174388,71,8,19
276,Benchmarks/BCS_SPL/Complete_FSM_files/products/9wise_9.txt,3456,24,14929944,1990680,301955,2000,15231899,1992680,1,5779,691,1447502,9638,1453281,10329,54,9,16
277,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_2.txt,3576,20,25321856,1670992,299447,2007,25621303,1672999,3,5550331,87391,1447955,9640,6998286,97031,55,5,16
278,Benchmarks/BCS_SPL/Complete_FSM_files/products/9wise_19.txt,3840,26,24400922,2595866,300969,2000,24701891,2597866,1,33547,2276,1755501,11672,1789048,13948,64,7,20
279,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_3.txt,576,20,13232800,382834,300241,2003,13533041,384837,3,5983212,85104,1221584,8130,7204796,93234,57,5,16
280,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_5.txt,832,25,23171214,767247,303403,2021,23474617,769268,3,7369116,91854,1527563,10170,8896679,102024,69,6,20
281,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_6.txt,936,23,9299734,605686,300051,2002,9599785,607688,2,10313251,135018,1532143,10179,11845394,145197,70,4,20
282,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_7.txt,648,21,1857513,285789,299848,2000,2157361,287789,1,12373,802,1220043,8126,1232416,8928,51,6,16
283,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_8.txt,360,17,787253,104057,301288,2000,1088541,106057,1,47095,3746,1065839,7112,1112934,10858,43,4,14
284,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_9.txt,1152,25,6090025,720025,298647,2000,6388672,722025,1,48911,2117,1449404,9655,1498315,11772,61,7,19
285,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_13.txt,1152,25,6090025,720025,299566,2000,6389591,722025,1,52399,2040,1454944,9654,1507343,11694,61,7,19
286,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_14.txt,432,19,935731,155971,298686,2000,1234417,157971,1,2017,396,994200,6609,996217,7005,43,7,13
287,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_15.txt,576,19,6575577,286655,300472,2007,6876049,288662,2,10844325,135551,1220080,8118,12064405,143669,56,4,16
288,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_17.txt,1664,19,15045104,729707,300101,2006,15345205,731713,2,6820998,90922,1146868,7629,7967866,98551,51,5,15
289,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_20.txt,576,21,1608789,254037,302855,2000,1911644,256037,1,10645,795,1223430,8128,1234075,8923,51,6,16
290,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_24.txt,2808,27,37470467,2411757,305942,2045,37776409,2413802,3,10924779,133177,1688456,11191,12613235,144368,76,6,22
291,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_25.txt,384,20,1196820,153620,301048,2000,1497868,155620,1,28578,1664,1147200,7610,1175778,9274,48,6,15
292,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_26.txt,1384,17,8342319,486334,302202,2002,8644521,488336,2,7770351,109993,1072165,7123,8842516,117116,48,4,14
293,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_27.txt,384,20,1196820,153620,299869,2000,1496689,155620,1,38383,1747,1150109,7626,1188492,9373,48,6,15
294,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_29.txt,768,24,3667992,442392,301350,2000,3969342,444392,1,55989,2175,1452937,9658,1508926,11833,60,6,19
295,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_30.txt,1152,25,6090025,720025,299502,2000,6389527,722025,1,51133,1957,1451643,9675,1502776,11632,61,7,19
296,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_36.txt,432,19,935731,155971,301571,2000,1237302,157971,1,1714,365,999289,6619,1001003,6984,43,7,13
298,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_39.txt,432,19,935731,155971,300800,2000,1236531,157971,1,2363,402,994039,6612,996402,7014,43,7,13
299,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/6wise_40.txt,1152,23,5154599,609431,300486,2000,5455085,611431,1,46428,2756,1446016,9639,1492444,12395,59,5,19
300,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_1.txt,384,19,854867,138643,300593,2000,1155460,140643,1,20995,715,996090,6617,1017085,7332,43,7,13
303,Experiments/Benchmarks/BCS_SPL/Complete_FSM_files/products2/7wise_7.txt,576,19,1316947,207955,298298,2000,1615245,209955,1,1986,471,1068481,7108,1070467,7579,45,6,14
