,STATES,inputs,LSTAR_rndWords_total_sym_median,LSTAR_rndWords_total_sym_mean,LSTAR_rndWords_total_sym_std,LSTAR_rndWords_total_reset_median,LSTAR_rndWords_total_reset_mean,LSTAR_rndWords_total_reset_std,LSTAR_rndWords_mq_sym_mean,LSTAR_rndWords_mq_sym_std,LSTAR_rndWords_mq_reset_mean,LSTAR_rndWords_mq_reset_std,LSTAR_rndWords_eq_sym_mean,LSTAR_rndWords_eq_sym_std,LSTAR_rndWords_eq_reset_mean,LSTAR_rndWords_eq_reset_std,LSTAR_rndWords_eqs,LIP_rndWords_rndWords_total_sym_median,LIP_rndWords_rndWords_total_sym_mean,LIP_rndWords_rndWords_total_sym_std,LIP_rndWords_rndWords_total_reset_median,LIP_rndWords_rndWords_total_reset_mean,LIP_rndWords_rndWords_total_reset_std,LIP_rndWords_rndWords_mq_sym_mean,LIP_rndWords_rndWords_mq_sym_std,LIP_rndWords_rndWords_mq_reset_mean,LIP_rndWords_rndWords_mq_reset_std,LIP_rndWords_rndWords_eq_sym_mean,LIP_rndWords_rndWords_eq_sym_std,LIP_rndWords_rndWords_eq_reset_mean,LIP_rndWords_rndWords_eq_reset_std,LIP_rndWords_rndWords_eqs,LIP_rndWords_rndWords_components,LIP_rndWords_rndWords_rounds,LIP_rndWords_rndWords_TOTAL_SYM_progress,LIP_rndWords_rndWords_TOTAL_RST_progress,LIP_rndWords_rndWords_MQ_SYM_progress,LIP_rndWords_rndWords_MQ_RST_progress,LIP_rndWords_rndWords_EQ_SYM_progress,LIP_rndWords_rndWords_EQ_RST_progress,LIP_rndWords_rndWords_TOTAL_SYM_pvalue,LIP_rndWords_rndWords_TOTAL_RST_pvalue
0,"(300, 600]",19.0,1442062.5,2616385.5625,3595189.7697587814,157971.0,188198.075,75608.61192857899,1143093.0,3594953.340175022,155971.0,75606.97160557655,300203.5,1395.6793699267837,2000.0,2.9983117612619097,1.0,2029158.6,1223957.5,2538064.5700945347,8955.0,19726.625,32950.816426901576,11357.0,2509428.6872209776,679.0,32779.03778060228,1216805.0,225019.14876873806,8106.5,1500.7313415444064,44.0,6.0,14.0,53.21952859155482,89.51815793014886,99.00646754026138,99.56466266164864,-305.3267200415718,-305.32500000000005,0.0011379263356140587,2.0832166295928264e-40
1,"(600, 900]",21.0,3682479.0,7508387.907407408,6704625.34051201,394062.0,415340.68518518517,108059.34030330657,3382565.0,6699179.19061535,392062.0,108042.79291802832,300160.5,40544.745731020215,2000.0,268.68793710765993,1.0,4896579.574074074,1578620.5,4855014.036829168,13347.0,55578.72222222222,60488.4606177287,47401.5,4770276.234295274,2455.5,59929.91725416608,1452465.0,224308.1706790332,9648.0,1491.3967957977263,55.0,5.5,16.5,78.97524049812863,86.61852204595807,98.59865220623993,99.37369599706169,-383.89611557816573,-382.4,7.807211903187234e-06,3.6631673589842016e-33
2,"(900, 1200]",22.0,5455085.0,7361902.256410256,5460925.017698412,611431.0,584948.8205128205,128825.03607930936,5154599.0,5460257.5171048865,609431.0,128824.50411713465,300426.0,1587.2867091883522,2000.0,4.208628114634029,1.0,3103183.564102564,1499156.0,3428047.5890966807,11876.0,33600.846153846156,45744.98236708789,38796.0,3363934.3921649805,2040.0,45352.85998864677,1446016.0,238581.35582037928,9639.0,1591.0693218852953,56.0,7.0,17.0,79.63629578626048,94.25576307267556,99.24735173385942,99.66526153083778,-381.32185629739104,-381.95,3.198057058180036e-10,2.4084075847213407e-26
3,"(1200, 1500]",23.0,6257036.0,10890104.42857143,8444217.948828882,687607.0,718471.2857142857,153587.30944877668,5958679.0,8443856.022390265,685607.0,153583.37355666992,300231.0,1984.5867363976968,2000.0,12.247059899848573,1.0,4765289.714285715,1559710.0,4413028.98464855,12544.0,55069.76190476191,55937.00911195089,34672.0,4332902.994877121,2399.0,55492.86466337469,1378191.0,204514.7067575547,9142.0,1366.0488748838493,55.0,7.0,17.0,85.67773146501769,92.33514783405533,99.41812606451866,99.65009108716801,-359.0435364769128,-357.09999999999997,3.798441923190843e-05,7.893191973860291e-16
4,"(1500, 1800]",22.5,7652511.0,11044355.6,8125698.417010806,833127.5,913526.5,206725.3151112481,7351832.0,8125238.21996252,831122.0,206722.75426666642,300557.5,1422.7281062690172,2000.0,6.359353686527017,1.0,4320313.966666667,1387046.0,4829229.85613613,10362.0,48396.53333333333,63532.32302386869,17638.0,4768704.552891059,1144.0,63148.820878135564,1373088.5,213109.0997504685,9136.5,1420.7040605228829,55.0,7.0,15.5,87.44113237353567,94.70222994808215,99.76008700960523,99.86235474455015,-356.84719230097403,-356.825,8.060798244796897e-07,2.0972278521402368e-20
5,"(1800, 2100]",23.0,11673391.0,15002836.0,5606918.463323883,1017703.0,1065594.294117647,203004.11739043763,11372427.0,5562443.568440959,1015703.0,203101.7336191289,300964.0,62558.823110263,2000.0,413.89264912534986,1.0,8820177.823529411,1724535.0,12794915.599790484,13680.0,179239.0,342985.0706610639,48368.0,12728447.034156827,2522.0,342453.3267412038,1450721.0,223272.55401697874,9618.0,1488.4098453205218,58.0,6.0,17.0,88.50527326966716,83.17943320554126,99.57469060913735,99.75169906951146,-382.0247604364642,-380.90000000000003,0.007086596569016394,3.5703852424269936e-07
6,"(2100, 2400]",24.0,15345907.0,17421934.8,8174393.578922163,1373850.0,1431804.8,297976.9271816192,15046587.0,8173866.281230931,1371832.0,297974.6845747295,300832.0,1331.12280568305,2000.0,6.088240030309803,1.0,4635671.266666667,1878774.0,3939420.2437507673,14777.0,51557.53333333333,48821.80410265577,52494.0,3910678.180099179,3946.0,48607.9706483657,1599008.0,178586.620955397,10657.0,1194.4882825473248,61.0,6.0,19.0,89.21604275548087,96.3991227482033,99.6511235405079,99.71235544877214,-431.5285607914052,-432.85,1.5283760189839307e-07,9.720606150027795e-12
7,"(2400, 3840]",25.0,32144908.5,29864845.36842105,15051971.677139154,1922809.0,1989286.7894736843,417999.1352384148,31833065.0,14988534.723799698,1918651.0,418038.0151316017,301108.5,104693.12172325037,2006.0,694.9522697160571,3.0,10789713.97368421,7257868.5,16565459.779830791,91910.5,136907.1052631579,241166.6699694441,5800534.0,16599511.751856547,81490.5,241426.4191861978,1676900.5,168939.13220806074,11162.5,1127.5224012371575,66.0,7.0,19.0,75.69761902174643,93.11777939774184,81.7782736283798,95.75271896764967,-456.9090543774088,-456.45563310069787,1.8374412794833671e-09,5.2930252643483366e-21
