"FILE_NAME","STATES","INPUTS","LSTAR_MQ_SYM","LSTAR_MQ_RST","LSTAR_EQ_SYM","LSTAR_EQ_RST","LSTAR_TOTAL_SYM","LSTAR_TOTAL_RST","LSTAR_EQs","LSTAR_MQs","CLSTAR_MQ_SYM","CLSTAR_MQ_RST","CLSTAR_EQ_SYM","CLSTAR_EQ_RST","CLSTAR_TOTAL_SYM","CLSTAR_TOTAL_RST","CLSTAR_EQs","CLSTAR_COMPONENTS","CLSTAR_ROUNDS","CLSTAR_MQs","CACHE"
"src/test/Generated Tests/data/P2P/4.txt","100","5","463369","8195","74611","501","537980","8696","2","10075","557812","6275","530471","3536","1088283","9811","30","3","4","12248","true"
"src/test/Generated Tests/data/P2P/1.txt","100","6","621965","10448","74776","501","696741","10949","2","12352","395546","4861","833207","5531","1228753","10392","36","4","5","9470","true"
"src/test/Generated Tests/data/P2P/1.txt","120","8","871006","15064","75056","501","946062","15565","2","16994","496410","5637","1211123","8050","1707533","13687","52","5","6","10745","true"
"src/test/Generated Tests/data/P2P/1.txt","2160","9","7843287","276191","75552","505","7918839","276696","3","309761","1341422","16583","1665308","11079","3006730","27662","86","6","7","32919","true"
"src/test/Generated Tests/data/P2P/4.txt","2400","11","8146426","232680","75894","501","8222320","233181","2","255437","1134256","13604","2180351","14576","3314607","28180","90","7","8","23517","true"
"src/test/Generated Tests/data/P2P/76.txt","1440","12","3221934","85263","74039","501","3295973","85764","2","92413","507624","6214","2792405","18584","3300029","24798","100","8","9","10684","true"
"src/test/Generated Tests/data/P2P/92.txt","2880","14","3429372","263355","74615","501","3503987","263856","2","282255","52940","1048","3457376","23073","3510316","24121","127","9","10","6051","true"
